Date,Open,High,Low,Close,Adj Close,Volume
2019-09-04,617.900024,623.450012,606.650024,621.599976,607.800537,1033989
2019-09-05,620.000000,632.900024,620.000000,630.250000,616.258545,851765
2019-09-06,632.000000,633.950012,624.049988,629.500000,615.525146,720767
2019-09-09,627.400024,642.500000,625.400024,639.900024,625.694336,971792
2019-09-11,645.000000,645.000000,630.000000,632.950012,618.898560,1104689
2019-09-12,633.000000,641.299988,628.000000,635.099976,621.000793,846026
2019-09-13,636.950012,639.500000,629.099976,637.549988,623.396484,656224
2019-09-16,632.900024,639.299988,629.099976,634.450012,620.365356,481057
2019-09-17,634.000000,634.750000,619.500000,620.599976,606.822693,454845
2019-09-18,622.200012,633.849976,619.900024,630.700012,616.698547,741847
2019-09-19,631.950012,631.950012,622.049988,625.450012,611.565125,888625
2019-09-20,625.400024,673.000000,619.000000,667.349976,652.534851,2881448
2019-09-23,681.000000,705.000000,665.000000,670.650024,655.761658,2238926
2019-09-24,673.000000,674.799988,661.750000,665.549988,650.774902,1263674
2019-09-25,663.000000,679.000000,661.000000,668.750000,653.903809,1509527
2019-09-26,672.950012,684.700012,664.000000,678.000000,662.948425,1855352
2019-09-27,677.950012,686.299988,672.799988,682.400024,667.250854,1099157
2019-09-30,685.799988,686.000000,671.250000,679.549988,664.464111,795232
2019-10-01,680.000000,696.599976,670.549988,674.650024,659.672852,1523100
2019-10-03,669.950012,682.000000,664.750000,674.400024,659.428406,800102
2019-10-04,674.900024,680.000000,652.950012,656.049988,641.485779,703425
2019-10-07,656.049988,667.750000,649.200012,664.299988,649.552612,581861
2019-10-09,663.000000,685.000000,657.799988,681.599976,666.468506,823317
2019-10-10,680.799988,695.049988,671.900024,673.849976,658.890564,1835731
2019-10-11,675.500000,683.500000,672.049988,679.099976,664.024048,540939
2019-10-14,679.099976,686.750000,672.000000,673.599976,658.646057,424901
2019-10-15,675.000000,681.349976,669.000000,676.000000,660.992859,930809
2019-10-16,678.000000,679.299988,660.799988,671.700012,656.788330,1015112
2019-10-17,672.000000,678.700012,670.150024,676.500000,661.481812,460645
2019-10-18,677.700012,697.000000,676.799988,691.700012,676.344360,2069844
2019-10-22,695.000000,713.000000,690.000000,693.450012,678.055542,2026682
2019-10-23,693.150024,709.400024,688.349976,707.700012,691.989197,1289839
2019-10-24,713.400024,721.250000,695.250000,707.849976,692.135864,2334184
2019-10-25,711.400024,712.599976,693.299988,699.299988,683.775574,969161
2019-10-27,707.900024,707.900024,702.150024,703.900024,688.273499,145127
2019-10-29,704.000000,725.400024,702.900024,719.750000,703.771606,1350096
2019-10-30,720.000000,722.000000,705.799988,712.950012,697.122559,665826
2019-10-31,715.849976,719.599976,705.000000,708.500000,692.771362,1039303
2019-11-01,709.000000,709.650024,694.000000,695.700012,680.255554,683006
2019-11-04,696.000000,701.049988,686.000000,687.250000,671.993164,824519
2019-11-05,689.450012,689.450012,674.650024,679.500000,664.415161,808275
2019-11-06,678.000000,689.650024,670.099976,673.099976,658.157227,1918668
2019-11-07,674.500000,681.500000,657.150024,666.650024,651.850464,2729712
2019-11-08,665.900024,701.450012,665.500000,693.650024,678.251160,2998481
2019-11-11,695.000000,704.150024,685.000000,687.299988,672.042053,1485485
2019-11-13,688.000000,707.000000,686.900024,702.000000,686.415710,1885292
2019-11-14,704.750000,715.000000,701.099976,713.599976,697.758179,1722703
2019-11-15,716.000000,718.849976,710.950012,713.549988,697.709229,976238
2019-11-18,713.000000,719.400024,708.250000,714.450012,698.589294,817503
2019-11-19,712.250000,718.500000,709.000000,713.250000,697.415894,792191
2019-11-20,713.250000,719.549988,703.900024,708.400024,692.673584,968603
2019-11-21,708.000000,709.049988,700.049988,703.500000,687.882385,500782
2019-11-22,707.000000,707.000000,689.599976,693.849976,678.446655,1000521
2019-11-25,694.900024,705.299988,689.400024,702.150024,686.562378,1185057
2019-11-26,704.500000,708.650024,698.549988,700.849976,685.291199,1168954
2019-11-27,701.950012,705.950012,692.650024,701.400024,685.829041,1726476
2019-11-28,704.900024,714.200012,697.700012,710.400024,694.629150,841453
2019-11-29,707.549988,713.000000,698.349976,700.599976,685.046814,760393
2019-12-02,696.549988,701.500000,688.849976,695.099976,679.668823,453626
2019-12-03,695.000000,702.049988,688.000000,689.500000,674.193237,700715
2019-12-04,687.799988,695.549988,684.500000,693.349976,677.957764,867371
2019-12-05,696.000000,707.000000,690.750000,696.450012,680.988892,1140638
2019-12-06,696.349976,696.349976,674.599976,690.000000,674.682129,2027624
2019-12-09,688.000000,690.799988,677.900024,679.849976,664.757385,992928
2019-12-10,680.000000,685.799988,675.000000,679.400024,664.317383,975416
2019-12-11,682.500000,683.200012,670.500000,680.299988,665.197449,1443699
